param_index,delta_frac,amplitude
0,-0.05,7.990308382965864
0,-0.02,8.275855123333633
0,0.02,8.292902353685395
0,0.05,7.917808501019462
1,-0.05,7.8645695411489696
1,-0.02,8.200752764512508
1,0.02,8.335975098446953
1,0.05,7.547500440944248
2,-0.05,8.20192444607838
2,-0.02,8.338993910434436
2,0.02,8.357553783287354
2,0.05,7.898353520103242
3,-0.05,7.977276529780708
3,-0.02,8.002718888170849
3,0.02,8.076517365187488
3,0.05,8.16126530737075
4,-0.05,8.19713783243439
4,-0.02,8.099942926769469
4,0.02,7.972791068928017
4,0.05,7.922337962553687
